id	question	answer	Type	predicted_label	True-label
1180	Is it close to all the places you like?	Supermarkets and restaurants are within a five-minute walk.	ambiguous	Yes	Yes
1181	Do you have a neighborhood in mind?	if rent magically drops by half and there's zero traffic.	conditional	No	Yes
1182	Do you have a neighborhood in mind?	I’ve basically memorized every listing in that area like it’s my job.	sarcastic	Yes	Yes
1183	Do you have a neighborhood in mind?	t’s a bit farther out, but way quieter than where I live now.	contrastive	No	Yes
1184	Do you have a neighborhood in mind?	I've narrowed it down to three.	ambiguous	Yes	Yes
1185	Do you go to bookstores?	If I pass by.	conditional	No	Yes
1186	Do you go to bookstores?	Where else can I spend hours doing nothing?	sarcastic	No	Yes
1187	Do you go to bookstores?	But I prefer reading in a library.	contrastive	No	Yes
1188	Do you go to bookstores?	I love the smell of books.	ambiguous	Yes	Yes
1189	Do you like the neighborhood?	If I did not live here for a long time.	conditional	No	Yes
1190	Do you like the neighborhood?	I can even not  forget the name of every dogs here.	sarcastic	No	Yes
1191	Do you like the neighborhood?	I would rather quit my job since it is far away.	contrastive	No	Yes
1192	Do you like the neighborhood?	I would never tell you I want to buy one here.	ambiguous	No	Yes
1193	Do you know what time you have to leave to head back home yet?	If things go smoothly, probably in the early evening.	conditional	Yes	Yes
1194	Do you know what time you have to leave to head back home yet?	My internal alarm is already ticking.	sarcastic	No	Yes
1195	Do you know what time you have to leave to head back home yet?	I’ve got a rough idea, but still flexible.	contrastive	Yes	Yes
1196	Do you know what time you have to leave to head back home yet?	I’m playing it by ear.	ambiguous	No	Yes
1197	Want to go to the library to browse?	If you’re up for it.	conditional	Yes	Yes
1198	Want to go to the library to browse?	I live for shelves and silence.	sarcastic	No	Yes
1199	Want to go to the library to browse?	I’ve been meaning to rather than staying here.	contrastive	No	Yes
1200	Want to go to the library to browse?	I wouldn’t mind stopping by.	ambiguous	No	Yes
1201	Have you been active in the community before?	If helping out at events counts.	conditional	Yes	Yes
1202	Have you been active in the community before?	I practically had a name tag.	sarcastic	Yes	Yes
1203	Have you been active in the community before?	I'm not so engaged as you've been.	contrastive	No	Yes
1204	Have you been active in the community before?	I'm active in larger community-politics!	ambiguous	No	Yes
1205	Would you like to join me for a beer?	If you’ve got a favorite spot.	conditional	Yes	Yes
1206	Would you like to join me for a beer?	Can you beat me this time?	sarcastic	Yes	Yes
1207	Would you like to join me for a beer?	It sounds better than anything I had planned.	contrastive	Yes	Yes
1208	Would you like to join me for a beer?	I like the berry taste.	ambiguous	Yes	Yes
1209	Have you heard the latest Selena Gomez song?	If I hadn't happened to hear it, while I was watching TV.	conditional	No	Yes
1210	Have you heard the latest Selena Gomez song?	I'm just playing it on repeat like a teenager.	sarcastic	Yes	Yes
1211	Have you heard the latest Selena Gomez song?	But I'd rather listen to Justin Bieber's songs.	contrastive	No	Yes
1212	Have you heard the latest Selena Gomez song?	I can not stop to think about the beat.	ambiguous	No	Yes
1213	Do you ever see any other of our old childhood friends?	If I do not work with Anna.	conditional	No	Yes
1214	Do you ever see any other of our old childhood friends?	But only when the planets align and everyone’s phones actually work.	sarcastic	No	Yes
1215	Do you ever see any other of our old childhood friends?	Not as much as I go grocery shopping.	contrastive	No	Yes
1216	Do you ever see any other of our old childhood friends?	Our town is small.	ambiguous	No	Yes
1217	Want to try a trendy new place?	As long as it's not too crowded.	conditional	No	Yes
1218	Want to try a trendy new place?	I’ve been dying to go somewhere Instagram-worthy!	sarcastic	Yes	Yes
1219	Want to try a trendy new place?	Much better than going to the same old spots again.	contrastive	Yes	Yes
1220	Want to try a trendy new place?	Should we drive there or take bus?	ambiguous	Yes	Yes
1221	Have you met your new neighbors?	As long as you count waving from across the street as 'meeting'.	conditional	Yes	Yes
1222	Have you met your new neighbors?	I already know their dog's name, favorite wine, and what they had for dinner last night.	sarcastic	No	Yes
1223	Have you met your new neighbors?	Unlike my old neighbors, these ones actually introduced themselves.	contrastive	No	Yes
1224	Have you met your new neighbors?	They are nice and we say Hello to each other.	ambiguous	Yes	Yes
1225	Want me to show you around?	If you’re offering.	conditional	Yes	Yes
1226	Want me to show you around?	Nothing beats a personal tour guide.	sarcastic	No	Yes
1227	Want me to show you around?	Go around alone seems a little bit boring.	contrastive	No	Yes
1228	Want me to show you around?	Let us buy coffee as a start.	ambiguous	Yes	Yes
1229	Can you deal with the commute?	If I’ve got coffee and podcasts.	conditional	Yes	Yes
1230	Can you deal with the commute?	It’s practically a meditation session at this point.	sarcastic	Yes	Yes
1231	Can you deal with the commute?	It's easier than doing my job.	contrastive	Yes	Yes
1232	Can you deal with the commute?	I usually listen to music or chat with others.	ambiguous	Yes	Yes
1233	Did you find that you often used public transportation?	If it was running on time.	conditional	Yes	Yes
1234	Did you find that you often used public transportation?	I practically lived on the bus.	sarcastic	No	Yes
1235	Did you find that you often used public transportation?	More than I expected actually.	contrastive	Yes	Yes
1236	Did you find that you often used public transportation?	I can not drive.	ambiguous	No	Yes
1237	Do you want fast food?	If it’s fries you’re offering.	conditional	Yes	Yes
1238	Do you want fast food?	Who could refuse it?	sarcastic	No	Yes
1239	Do you want fast food?	I always eat something healthier, but fast food is life.	contrastive	Yes	Yes
1240	Do you want fast food?	That would be handy.	ambiguous	Yes	Yes
1241	Would you live there again if you had the chance?	If the rent stayed the same.	conditional	Yes	Yes
1242	Would you live there again if you had the chance?	There is a part of my life.	sarcastic	Yes	Yes
1243	Would you live there again if you had the chance?	I prefer the old town than the place where I live now.	contrastive	No	Yes
1244	Would you live there again if you had the chance?	Possibly, I have good memories from there.	ambiguous	Yes	Yes
1245	Are your parents doing good?	If daily phone calls are any sign.	conditional	Yes	Yes
1246	Are your parents doing good?	They’re living their best retired lives.	sarcastic	Yes	Yes
1247	Are your parents doing good?	They’re eeping busy as always.	contrastive	No	Yes
1248	Are your parents doing good?	They're still running their store!	ambiguous	No	Yes
1249	Will you be decorating for the holidays?	If I find the box containing all my decorations, then yes.	conditional	Yes	Yes
1250	Will you be decorating for the holidays?	If decorating were a job, I'd be the CEO.	sarcastic	Yes	Yes
1251	Will you be decorating for the holidays?	Decotating is more interesting than doing nothing.	contrastive	Yes	Yes
1252	Will you be decorating for the holidays?	I just bought a Christmas tree and lights.	ambiguous	Yes	Yes
1253	Are you living alone?	If plants count as roommates, no.	conditional	No	Yes
1254	Are you living alone?	I have a roommate, my plant.	sarcastic	No	Yes
1255	Are you living alone?	However it gets quiet sometimes.	contrastive	No	Yes
1256	Are you living alone?	I might want to get a roommate.	ambiguous	No	Yes
1257	Are you looking to earn more money?	If the opportunity’s right.	conditional	Yes	Yes
1258	Are you looking to earn more money?	I dream of gold-plated grocery carts.	sarcastic	Yes	Yes
1259	Are you looking to earn more money?	The more the better.	contrastive	Yes	Yes
1260	Are you looking to earn more money?	I want to try also do a part-time job after my work.	ambiguous	No	Yes
1261	Do you have any future plans regarding your wage?	If all goes well, I’m hoping for a raise.	conditional	Yes	Yes
1262	Do you have any future plans regarding your wage?	I’ve got a five-step plan to riches.	sarcastic	Yes	Yes
1263	Do you have any future plans regarding your wage?	I'm looking for a job with more income.	contrastive	Yes	Yes
1264	Do you have any future plans regarding your wage?	Spending and saving.	ambiguous	Yes	Yes
1265	Are you willing to travel 5 miles?	If the weather’s decent.	conditional	Yes	Yes
1266	Are you willing to travel 5 miles?	I’d walk that for good food.	sarcastic	Yes	Yes
1267	Are you willing to travel 5 miles?	Though most time I’d prefer to drive.	contrastive	No	Yes
1268	Are you willing to travel 5 miles?	Oh, 5 miles are not short.	ambiguous	No	Yes
1269	Do you have any places in mind you want to go?	If I had a map right now, I’d circle five.	conditional	Yes	Yes
1270	Do you have any places in mind you want to go?	My mental bucket list is overflowing.	sarcastic	Yes	Yes
1271	Do you have any places in mind you want to go?	A walk along the river would be nice. A visit to the cinema would be better.	contrastive	Yes	Yes
1272	Do you have any places in mind you want to go?	I'm choosing the one I want to go to most.	ambiguous	No	Yes
1273	Are there too many deadlines?	Only If it is the end of each semester.	conditional	Yes	Yes
1274	Are there too many deadlines?	I use a calendar just to panic.	sarcastic	No	Yes
1275	Are there too many deadlines?	But not as many as my boyfriend's.	contrastive	No	Yes
1276	Are there too many deadlines?	Feels that way sometimes.	ambiguous	Yes	Yes
1277	Alright man, now that you're here do you want to grab some Texas barbecue?	If you’re buying.	conditional	Yes	Yes
1278	Alright man, now that you're here do you want to grab some Texas barbecue?	I came with an empty stomach and big dreams.	sarcastic	No	Yes
1279	Alright man, now that you're here do you want to grab some Texas barbecue?	Texas barbecue is better than hamburgers.	contrastive	Yes	Yes
1280	Alright man, now that you're here do you want to grab some Texas barbecue?	Do we have the wood to make fire?	ambiguous	Yes	Yes
1281	Are you studying somewhere?	If podcasts count.	conditional	Yes	Yes
1282	Are you studying somewhere?	I’m buried in books and deadlines.	sarcastic	Yes	Yes
1283	Are you studying somewhere?	Now I’m only part-time now.	contrastive	No	Yes
1284	Are you studying somewhere?	Life is just about studying.	ambiguous	Yes	Yes
1285	Do you take a drink with your food?	If you do not mind sparkling water.	conditional	No	Yes
1286	Do you take a drink with your food?	I hydrate like it’s a sport.	sarcastic	Yes	Yes
1287	Do you take a drink with your food?	Maybe not enough.	contrastive	No	Yes
1288	Do you take a drink with your food?	I only have cola.	ambiguous	No	Yes
1289	Do you like burger places?	If the buns are toasted.	conditional	Yes	Yes
1290	Do you like burger places?	I judge cities by their burgers.	sarcastic	No	Yes
